mag_id	original_substrate	substrate_category	specific_substrate	source	completeness	contamination	domain	phylum	class	order	family	genus	species	study_catalog	group
LeechJ_2020__ERS3967738__bin.4	tea	fermented_beverages	tea	LeechJ_2020__ERS3967738	97.89125609	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_saccharivorans	Carlino2024	Proteobacteria
MortensenS_xxxx__WK038-2-L-48h-03E5_S60__bin.8	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK038-2-L-48h-03E5_S60	97.88557214	1.705518108	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_SGB99382	Carlino2024	Proteobacteria
MortensenS_xxxx__WK052-1-L-08h-04D8_S6__bin.2	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK052-1-L-08h-04D8_S6	97.86691542	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	Carlino2024	Proteobacteria
WalshL_xxxx__I2__bin.5	kefir	dairy	kefir	WalshL_xxxx__I2	97.76119403	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
ArikanM_2020__ERS1939656__bin.5	tea	fermented_beverages	tea	ArikanM_2020__ERS1939656	97.75818488	0.290215589	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	Carlino2024	Proteobacteria
MortensenS_xxxx__WK032-2-L-48h-03B8_S36__bin.8	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK032-2-L-48h-03B8_S36	97.74648264	2.404643449	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_pasteurianus	Carlino2024	Proteobacteria
LeechJ_2020__ERS3967739__bin.3	water_kefir	fermented_beverages	kefir	LeechJ_2020__ERS3967739	97.74514524	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_syzygii	Carlino2024	Proteobacteria
MortensenS_xxxx__WK048-1-L-48h-03I7_S98__bin.10	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK048-1-L-48h-03I7_S98	97.68395924	2.338308458	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
LeechJ_2020__ERS3967716__bin.4	water_kefir	fermented_beverages	kefir	LeechJ_2020__ERS3967716	97.59158752	0.746268657	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	GGB49319	GGB49319_SGB69218	Carlino2024	Proteobacteria
LeechJ_2020__ERS3967715__bin.7	water_kefir	fermented_beverages	kefir	LeechJ_2020__ERS3967715	97.59158752	1.741293532	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	GGB49319	GGB49319_SGB69218	Carlino2024	Proteobacteria
MortensenS_xxxx__WK026-1-L-08h-02H8_S9__bin.4	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK026-1-L-08h-02H8_S9	97.51243781	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_syzygii	Carlino2024	Proteobacteria
WalshL_xxxx__Q5__bin.1	kefir	dairy	kefir	WalshL_xxxx__Q5	97.51243781	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
MortensenS_xxxx__WK006-2-L-48h-01H6_S48__bin.11	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK006-2-L-48h-01H6_S48	97.51243781	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_okinawensis	Carlino2024	Proteobacteria
LandisEA_2021__SRS5653126__bin.1	sourdough	grains	sourdough	LandisEA_2021__SRS5653126	97.51243781	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_okinawensis	Carlino2024	Proteobacteria
MortensenS_xxxx__WK044-2-L-48h-03H2_S84__bin.7	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK044-2-L-48h-03H2_S84	97.51243781	1.990049751	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_papayae	Carlino2024	Proteobacteria
MortensenS_xxxx__WK022-1-L-48h-02F8_S113__bin.12	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK022-1-L-48h-02F8_S113	97.42951907	0.573835369	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_potus	Carlino2024	Proteobacteria
WalshL_xxxx__L7__bin.4	kefir	dairy	kefir	WalshL_xxxx__L7	97.41915423	0.746268657	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
MortensenS_xxxx__WK001-2-L-08h-01F3_S27__bin.7	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK001-2-L-08h-01F3_S27	97.3880597	1.243781095	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
MortensenS_xxxx__WK056-1-L-48h-04F7_S23__bin.9	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK056-1-L-48h-04F7_S23	97.37301396	0.746268657	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
MortensenS_xxxx__WK068-2-L-08h-05C6_S76__bin.3	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK068-2-L-08h-05C6_S76	97.36770692	0.777363184	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_oxydans	Carlino2024	Proteobacteria
MortensenS_xxxx__WK006-2-L-48h-01H6_S48__bin.9	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK006-2-L-48h-01H6_S48	97.30915316	0.140426898	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	Carlino2024	Proteobacteria
ArikanM_2020__ERS1937969__bin.3	tea	fermented_beverages	tea	ArikanM_2020__ERS1937969	97.29176697	2.23880597	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	Carlino2024	Proteobacteria
WalshL_xxxx__B9__bin.4	kefir	dairy	kefir	WalshL_xxxx__B9	97.27170599	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	Carlino2024	Proteobacteria
MortensenS_xxxx__WK025-1-L-48h-02H5_S6__bin.7	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK025-1-L-48h-02H5_S6	97.26368159	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_malorum	Carlino2024	Proteobacteria
MortensenS_xxxx__WK046-1-L-48h-03H8_S90__bin.2	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK046-1-L-48h-03H8_S90	97.26368159	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	Carlino2024	Proteobacteria
WalshL_xxxx__k9__bin.2	kefir	dairy	kefir	WalshL_xxxx__k9	97.26368159	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
WalshL_xxxx__O5__bin.4	kefir	dairy	kefir	WalshL_xxxx__O5	97.26368159	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
WalshL_xxxx__R4__bin.5	kefir	dairy	kefir	WalshL_xxxx__R4	97.26368159	0.746268657	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
MortensenS_xxxx__WK006-2-L-08h-01H5_S47__bin.4	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK006-2-L-08h-01H5_S47	97.26368159	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_okinawensis	Carlino2024	Proteobacteria
MortensenS_xxxx__WK044-2-L-48h-03H2_S84__bin.9	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK044-2-L-48h-03H2_S84	97.26368159	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB99392	Carlino2024	Proteobacteria
MortensenS_xxxx__WK001T-2-L-48h-05G1_S107__bin.2	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK001T-2-L-48h-05G1_S107	97.21954742	0.746268657	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	Carlino2024	Proteobacteria
MortensenS_xxxx__WK044-2-L-48h-03H2_S84__bin.4	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK044-2-L-48h-03H2_S84	97.21393035	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	Carlino2024	Proteobacteria
ArikanM_2020__ERS1939657__bin.6	tea	fermented_beverages	tea	ArikanM_2020__ERS1939657	97.20751083	3.980099502	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	Carlino2024	Proteobacteria
MortensenS_xxxx__WK028-2-G-48h-04A4_S104__bin.6	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK028-2-G-48h-04A4_S104	97.17039801	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB99392	Carlino2024	Proteobacteria
MortensenS_xxxx__WK053-2-L-48h-04E6_S13__bin.10	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK053-2-L-48h-04E6_S13	97.15626413	2.860696517	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_lovaniensis	Carlino2024	Proteobacteria
ArikanM_2020__ERS1939594__bin.6	tea	fermented_beverages	tea	ArikanM_2020__ERS1939594	97.01492537	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_entanii	Carlino2024	Proteobacteria
WalshL_xxxx__H11__bin.2	kefir	dairy	kefir	WalshL_xxxx__H11	97.01492537	0.995024876	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
MortensenS_xxxx__WK054-2-L-48h-04F1_S17__bin.6	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK054-2-L-48h-04F1_S17	97.01492537	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_lovaniensis	Carlino2024	Proteobacteria
MortensenS_xxxx__WK044-1-L-48h-03G9_S82__bin.11	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK044-1-L-48h-03G9_S82	97.01492537	0.663349917	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB99392	Carlino2024	Proteobacteria
WalshL_xxxx__V1__bin.2	kefir	dairy	kefir	WalshL_xxxx__V1	96.99419569	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	Carlino2024	Proteobacteria
LeechJ_2020__ERS3967739__bin.10	water_kefir	fermented_beverages	kefir	LeechJ_2020__ERS3967739	96.96969697	3.03030303	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_dulcium	Carlino2024	Proteobacteria
WalshL_xxxx__B8__bin.1	kefir	dairy	kefir	WalshL_xxxx__B8	96.93869363	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	Carlino2024	Proteobacteria
MortensenS_xxxx__WK045-2-L-48h-03H6_S88__bin.5	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK045-2-L-48h-03H6_S88	96.92446857	1.040253279	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_dulcium	Carlino2024	Proteobacteria
MortensenS_xxxx__WK048-2-L-48h-03I9_S100__bin.8	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK048-2-L-48h-03I9_S100	96.90659605	2.23880597	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
MortensenS_xxxx__WK005-1-L-48h-01G9_S42__bin.6	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK005-1-L-48h-01G9_S42	96.89455946	1.243781095	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_okinawensis	Carlino2024	Proteobacteria
ArikanM_2020__ERS1939594__bin.2	tea	fermented_beverages	tea	ArikanM_2020__ERS1939594	96.79425453	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	Carlino2024	Proteobacteria
MortensenS_xxxx__WK039-2-L-48h-03E9_S64__bin.6	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK039-2-L-48h-03E9_S64	96.7751966	0.746268657	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
WalshL_xxxx__O4__bin.10	kefir	dairy	kefir	WalshL_xxxx__O4	96.76616915	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
WalshL_xxxx__P10__bin.4	kefir	dairy	kefir	WalshL_xxxx__P10	96.76616915	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
WalshL_xxxx__I4__bin.6	kefir	dairy	kefir	WalshL_xxxx__I4	96.76616915	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
MortensenS_xxxx__WK038-2-G-48h-04B5_S114__bin.3	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK038-2-G-48h-04B5_S114	96.72002889	1.592039801	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_SGB99382	Carlino2024	Proteobacteria
MortensenS_xxxx__WK033-2-L-48h-03C3_S40__bin.6	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK033-2-L-48h-03C3_S40	96.71641791	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	Carlino2024	Proteobacteria
MortensenS_xxxx__WK003-1-L-48h-01G1_S34__bin.10	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK003-1-L-48h-01G1_S34	96.66666667	0.746268657	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_lovaniensis	Carlino2024	Proteobacteria
MortensenS_xxxx__WK069-1-L-48h-05C9_S79__bin.11	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK069-1-L-48h-05C9_S79	96.64179104	2.985074627	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_oxydans	Carlino2024	Proteobacteria
MortensenS_xxxx__WK010-2-L-48h-02A4_S64__bin.2	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK010-2-L-48h-02A4_S64	96.64179104	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	Carlino2024	Proteobacteria
DeRoosJ_2020__B9M__bin.4	beer	fermented_beverages	beer	DeRoosJ_2020__B9M	96.56769914	0.111338469	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_ascendens	Carlino2024	Proteobacteria
MortensenS_xxxx__WK057-1-L-48h-04G2_S27__bin.6	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK057-1-L-48h-04G2_S27	96.51741294	1.160862355	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_oxydans	Carlino2024	Proteobacteria
WalshL_xxxx__I8__bin.2	kefir	dairy	kefir	WalshL_xxxx__I8	96.51741294	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	Carlino2024	Proteobacteria
MortensenS_xxxx__WK054-1-L-48h-04E8_S15__bin.1	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK054-1-L-48h-04E8_S15	96.51741294	0.497512438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_lovaniensis	Carlino2024	Proteobacteria
MortensenS_xxxx__WK058-1-L-48h-04G6_S31__bin.1	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK058-1-L-48h-04G6_S31	96.51741294	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_lovaniensis	Carlino2024	Proteobacteria
MortensenS_xxxx__WK029-1-L-48h-03A3_S22__bin.5	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK029-1-L-48h-03A3_S22	96.51741294	0.248756219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_albidus	Carlino2024	Proteobacteria
MortensenS_xxxx__WK001-2-G-48h-01C4_S1__bin.9	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK001-2-G-48h-01C4_S1	99.47643979	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK001T-1-L-00h-05D3_S82__bin.5	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK001T-1-L-00h-05D3_S82	98.95287958	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK001T-1-L-02h-05D7_S86__bin.5	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK001T-1-L-02h-05D7_S86	99.47643979	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK001T-1-L-04h-05E2_S90__bin.2	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK001T-1-L-04h-05E2_S90	97.90575916	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK001T-1-L-16h-05F1_S98__bin.2	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK001T-1-L-16h-05F1_S98	98.95287958	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK013-1-L-48h-02B5_S74__bin.6	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK013-1-L-48h-02B5_S74	83.28970332	2.423577098	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK013-2-G-48h-01D7_S13__bin.10	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK013-2-G-48h-01D7_S13	98.95287958	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK015-2-L-08h-02C5_S83__bin.7	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK015-2-L-08h-02C5_S83	59.90897832	3.320103586	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK016-2-G-48h-01E1_S16__bin.2	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK016-2-G-48h-01E1_S16	99.47643979	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK017-2-G-48h-01E2_S17__bin.4	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK017-2-G-48h-01E2_S17	98.42931937	0.785340314	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK018-2-G-48h-01E3_S18__bin.4	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK018-2-G-48h-01E3_S18	98.95287958	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK024-1-L-48h-02G7_S121__bin.6	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK024-1-L-48h-02G7_S121	93.87434555	1.047120419	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK024-2-G-48h-01E9_S24__bin.5	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK024-2-G-48h-01E9_S24	98.84816754	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK025-1-L-08h-02H4_S5__bin.5	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK025-1-L-08h-02H4_S5	50.86175042	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK025-2-G-48h-04A1_S101__bin.2	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK025-2-G-48h-04A1_S101	66.43655351	1.652055089	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK025-2-L-48h-02H7_S8__bin.1	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK025-2-L-48h-02H7_S8	52.25229409	1.570680628	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK026-2-G-48h-04A2_S102__bin.1	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK026-2-G-48h-04A2_S102	96.23036649	2.440466137	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK027-1-L-08h-02I3_S13__bin.1	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK027-1-L-08h-02I3_S13	98.95287958	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK027-1-L-48h-02I4_S14__bin.9	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK027-1-L-48h-02I4_S14	99.47643979	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK027-2-G-48h-04A3_S103__bin.6	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK027-2-G-48h-04A3_S103	99.47643979	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK027-2-L-08h-02I5_S15__bin.8	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK027-2-L-08h-02I5_S15	98.95287958	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK033-2-G-48h-04A9_S109__bin.5	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK033-2-G-48h-04A9_S109	99.47643979	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK034-2-G-48h-04B1_S110__bin.5	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK034-2-G-48h-04B1_S110	99.47643979	1.570680628	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK036-2-G-48h-04B3_S112__bin.2	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK036-2-G-48h-04B3_S112	98.95287958	0.523560209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
MortensenS_xxxx__WK050-2-G-48h-04D2_S129__bin.1	water_kefir	fermented_beverages	kefir	MortensenS_xxxx__WK050-2-G-48h-04D2_S129	50.08526406	1.094716802	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_satsumensis	Carlino2024	Firmicutes
